completion_rate,active_completion_rate,active_demand_share,velocity,balance_gini,price_index,acceptance,reciprocal_volume_share,launch5_completion,early30_completion,late30_completion,late30_active_completion,launch5_bottom_access,late30_bottom_access,launch5_price,late30_price,late30_capacity_pressure,conservation_error,coverage,mean_balance,top10_share,tau,recycle,tight_capacity,seed,experiment
0.06716997890529589,0.1824487334137515,0.36815809925613413,0.019307168291409414,0.8864427815950713,0.7819787572552636,0.6654409597155065,0.4225895316804408,0.20492445757976116,0.11022295727331688,0.046375858993945696,0.12675366270189847,0.11393110943847892,0.0,0.9954275168159958,0.7819787572552636,1.6727122106414867,2.2737367544323206e-13,0.2,2.0,0.1,0.01,True,False,1016,breadth
0.05949911084765856,0.1361709343734102,0.43694427978660344,0.01818287919750877,0.905681937393856,0.8132347882395525,0.644066851618876,0.3518057285180573,0.23045660060774087,0.11042067463810114,0.029684555058692726,0.06876536670368415,0.13688539942924183,0.0,0.9986705501682749,0.8132347882395525,2.0318312958849942,2.2737367544323206e-13,0.2,2.0,0.1,0.01,True,False,1017,breadth
0.06613560577991849,0.15025252525252525,0.4401630233419785,0.02022073255051869,0.9040094344307315,0.9166643339644395,0.5973658172599802,0.5254901960784314,0.23278789736943267,0.11678952807295098,0.03596854026402153,0.08211601729428468,0.1295120320855615,0.0,0.9998658857756126,0.9166643339644395,2.2337851434678684,2.2737367544323206e-13,0.2,2.0,0.1,0.01,True,False,1018,breadth
0.07506782117507153,0.1874188161068844,0.4005351369430302,0.024186132840450302,0.8136359813703387,0.9258730451197695,0.655374421773693,0.5900990099009901,0.22049846389041067,0.11972897569223538,0.05286024721755154,0.1350454282101721,0.13027989043104818,0.0,0.9975479672797481,0.9258730451197695,1.8063809438849925,1.1368683772161603e-13,0.2,2.0,0.1,0.01,True,False,1019,breadth
0.07827024615155796,0.18762813084945182,0.4171562430281847,0.023300318686473313,0.8689239859397098,0.8470219905372345,0.6180101498979713,0.4551068883610451,0.23161149957044383,0.13031772875511308,0.04970137474754891,0.1188154588968768,0.14293711462004788,0.0,0.99839122596392,0.8470219905372345,2.0323612668705278,2.2737367544323206e-13,0.2,2.0,0.1,0.01,True,False,1004,breadth
0.08567926910792542,0.20532217871128516,0.4172918368862809,0.024752035211422368,0.8998319789040188,0.8685421889602359,0.6379249770904148,0.58864325964456,0.2301150065213899,0.1310036793210355,0.0594306530957918,0.14414552508802495,0.13569305961530412,0.0,0.9991559713883381,0.8685421889602359,1.9434626449841035,2.2737367544323206e-13,0.2,2.0,0.1,0.01,True,False,1005,breadth
0.05542382928275044,0.15515453225471892,0.35721695317131,0.017290029817534396,0.905477635561539,0.861879761691715,0.6602986294509111,0.3355614973262032,0.21717479988455585,0.1062924894114726,0.02449306562514866,0.06973211267330878,0.12442840985014014,0.0,0.9947999178021909,0.861879761691715,1.6147805131738138,1.1368683772161603e-13,0.2,2.0,0.1,0.01,True,False,1006,breadth
0.07270516269300217,0.19312842599843383,0.3764601835132844,0.02103570006330105,0.8920381874547096,0.7794276269830765,0.6638753810062664,0.5093765838824126,0.23151915359981254,0.11702896965799377,0.04790494847617672,0.12617673444657462,0.13810290746052642,0.0,0.9963919952244389,0.7794276269830765,1.7315799433012877,2.2737367544323206e-13,0.2,2.0,0.1,0.01,True,False,1007,breadth
0.07500924214417745,0.18141988555078684,0.41345656192236596,0.022994920448335454,0.8699574075276,0.949501174446992,0.6379184954174707,0.47264662395268603,0.22184948323011194,0.12116406651065617,0.04747556339786696,0.11651326103153584,0.12316951633498396,0.0,0.9978826114521582,0.949501174446992,1.9446005499493046,2.2737367544323206e-13,0.2,2.0,0.1,0.01,True,False,1000,breadth
0.0565284859232986,0.14788323989947805,0.38225079435454073,0.01714244424281178,0.9074671891885309,0.8138792798480011,0.6368928306369193,0.3588235294117647,0.1978576052906121,0.10372960771162616,0.02652702072980603,0.07117893532371493,0.10312176874283832,0.0,0.998274907603442,0.8138792798480011,1.7768027312753696,2.2737367544323206e-13,0.2,2.0,0.1,0.01,True,False,1001,breadth
